Genus	H	NL	L2l	w2l	StD	NF	IL	iaxL	BrL 	Brw	OvL	SlaL	Slaw	PetL	Petw	LipL	LlalL	LmlL	Lipw	Lmlw	SpL	SpD
Anacamptis	16.00	11.00	5.20	1.05	2.20	5.00	3.82	2.71	10.40	4.10	12.20	8.30	3.10	5.30	2.10	6.50	5.40	1.60	12.60	6.90	13.00	2.40
Anacamptis	16.40	9.00	4.90	0.75	2.10	5.00	4.52	3.28	11.90	3.50	12.60	8.70	3.30	6.50	2.10	7.40	7.50	1.30	14.90	6.20	13.10	2.00
Anacamptis	27.00	12.00	6.00	1.05	2.80	8.00	7.74	4.40	13.00	4.20	13.10	7.60	3.40	5.60	2.20	6.30	6.30	1.60	13.40	5.80	12.20	2.00
Anacamptis	15.90	7.00	5.10	1.15	2.20	6.00	5.03	3.13	11.20	5.00	10.80	8.30	3.80	5.30	2.30	6.50	5.10	1.90	10.30	5.30	12.50	2.50
Androrchis	27.00	9.00	15.10	2.55	4.40	23.00	6.50	1.65	14.50	3.60	13.00	13.00	4.70	9.50	4.30	11.30	9.20	4.70	14.80	5.40	21.60	2.30
Androrchis	32.40	7.00	12.10	2.05	4.10	15.00	8.00	3.01	14.30	4.10	13.60	13.00	5.10	9.90	4.30	10.90	9.40	3.50	13.70	4.30	20.20	3.20
Androrchis	30.50	7.00	8.80	2.20	3.60	21.00	10.20	3.29	14.80	4.20	15.60	13.20	5.40	9.20	4.40	9.80	7.80	4.60	14.00	5.00	21.80	3.10
Androrchis	39.60	7.00	18.10	2.35	4.70	20.00	8.60	2.28	16.50	4.50	14.30	14.50	5.50	10.60	4.80	11.30	9.20	4.40	13.90	4.30	19.00	2.90
Androrchis	26.60	6.00	11.70	1.60	3.00	12.00	5.30	1.89	13.20	3.90	11.80	10.50	4.30	7.60	3.90	8.80	7.50	2.20	11.50	5.20	16.60	2.90
Androrchis	27.00	8.00	10.70	1.40	2.80	14.00	5.60	1.93	13.30	3.40	9.40	10.80	5.00	7.60	3.40	8.90	7.20	3.60	13.30	4.80	15.10	2.70
Androrchis	32.40	8.00	16.20	2.75	3.80	20.00	7.00	1.84	14.00	3.90	11.30	13.20	5.30	9.00	4.40	11.10	9.40	3.70	16.20	5.60	18.00	3.40
Androrchis	23.30	7.00	11.20	2.05	3.30	16.00	6.70	2.14	10.00	4.00	10.20	10.30	4.20	7.20	3.40	9.50	7.90	4.00	11.20	3.60	14.80	3.30
Androrchis	37.20	9.00	12.60	2.15	5.40	20.00	11.85	2.45	13.60	4.10	17.10	12.00	4.90	8.30	4.30	9.50	7.10	4.20	13.00	6.30	16.20	3.00
Androrchis	29.70	7.00	8.30	1.85	3.00	9.00	8.85	4.60	9.20	3.10	14.70	9.90	4.40	7.50	4.30	8.70	5.60	4.00	11.20	5.20	15.60	2.60
Androrchis	32.50	7.00	10.45	2.10	3.30	14.00	9.45	3.15	12.50	3.80	13.70	10.20	4.50	7.60	4.00	9.40	7.40	3.10	11.70	4.00	16.10	2.60
Androrchis	28.20	7.00	10.70	1.60	3.40	8.00	7.80	3.45	12.90	3.60	12.90	12.00	4.90	8.10	4.60	8.80	6.50	3.50	12.80	4.70	16.70	2.70
Androrchis	32.20	6.00	13.25	2.20	3.20	14.00	10.20	3.00	11.60	3.90	14.10	10.30	5.20	7.30	4.30	9.00	6.80	3.20	11.00	5.00	16.60	2.90
Androrchis	30.80	8.00	11.55	1.90	3.60	13.00	8.25	2.55	11.10	3.90	13.30	9.30	4.50	6.80	4.10	8.00	5.20	3.90	11.30	6.20	16.40	3.10
Androrchis	19.30	5.00	10.05	1.20	2.60	9.00	5.85	2.45	9.70	3.00	13.20	10.10	4.10	7.30	3.50	8.10	6.10	3.40	9.80	4.40	15.80	1.70
Androrchis	29.90	7.00	10.50	1.70	2.80	13.00	9.30	3.05	11.40	2.80	12.50	11.20	4.10	7.40	3.70	9.40	7.00	3.50	11.00	5.50	17.70	2.20
Androrchis	33.80	6.00	9.55	3.50	4.90	19.00	13.55	4.45	13.50	4.40	14.30	11.80	5.30	7.20	4.00	10.50	8.70	4.20	12.80	5.30	15.60	3.30
Androrchis	32.90	6.00	12.85	2.30	4.00	14.00	12.55	4.00	12.90	5.20	15.00	12.60	5.50	8.40	4.20	12.60	10.00	4.90	15.60	5.80	21.20	4.00
Androrchis	27.50	7.00	12.20	1.65	3.70	16.00	7.90	2.15	16.80	4.30	13.20	13.20	4.90	8.20	4.00	10.30	8.10	4.60	13.00	4.70	16.20	3.00
Androrchis	23.70	8.00	9.50	2.10	4.50	14.00	7.70	2.84	13.10	5.00	11.40	10.80	4.50	8.20	4.70	10.90	8.00	4.70	14.80	5.60	14.10	3.20
Androrchis	21.50	6.00	11.10	1.80	2.90	15.00	6.30	2.33	8.60	3.10	8.40	9.50	4.50	7.00	3.50	8.80	7.00	3.00	11.00	4.80	12.00	2.00
